Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source
Wang Y.; Wang X.; Hui H.; Pian K.,"Wang, Yanying (59654030000)""; Wang, Xianzhi (58773984700); Hui, Hongkuan (55511318200);"" Pian, Kang (60321723000)","59654030000"";58773984700;55511318200;"" 60321723000",Agricultural water savings and productivity responses to groundwater governance in the North China Plain,2026,Agricultural Water Management,330,,110409,,,0,10.1016/j.agwat.2026.110409,https://www.scopus.com/pages/publications/105038139643?origin=resultslist,"Groundwater depletion driven by irrigated agriculture poses a critical constraint on agricultural sustainability in the North China Plain. Using multi-source Earth observation data, causal inference, and a nested spatial design, this study assesses agricultural productivity responses and groundwater-relevant water use under groundwater governance in the North China Plain. We reconstruct a 10 m solar-induced chlorophyll fluorescence (SIF) dataset through Sentinel-1/2 data fusion to characterize field-scale photosynthetic activity, extract photosynthetic phenology, and apply a double machine learning framework to identify cropping-regime effects while controlling for high-dimensional confounding factors. The results show that although agricultural productivity exhibits an overall greening trend, productivity enhancement remains closely associated with persistent groundwater stress in groundwater-dependent areas. Groundwater governance can reduce consumptive blue water use through transitions from double-cropping to single-cropping systems, although these water savings are accompanied by substantial productivity costs, whereas long-term high-intensity agriculture imposes sustained structural pressure on groundwater resources. Integrated quantification further reveals a substantial productivity–water trade-off in the core irrigated area, where consumptive blue water savings are accompanied by comparable productivity losses. These findings highlight the potential for reducing groundwater pressure through structural and institutional adjustments rather than continued increases in irrigation inputs, providing empirical support for groundwater governance and agricultural water management in groundwater-dependent regions. © 2026 The Authors.","Agricultural water use""; Groundwater governance; Groundwater irrigation; Productivity–water trade-off;"" Solar-induced chlorophyll fluorescence (SIF)","China""; North China Plain; Groundwater; Groundwater resources; Irrigation; Learning systems; Photosynthesis; Water conservation; Water management; Agricultural water use; Chlorophyll fluorescence; Groundwater governances; Groundwater irrigation; North China Plain; Productivity–water trade-off; Solar-induced chlorophyll fluorescence; Trade off; Water trades; Water-saving; agricultural production; alternative agriculture; chlorophyll; fluorescence; governance approach; groundwater; irrigation system; trade-off; water management; water use;"" Economic and social effects",Article,Final,"All Open Access""; Gold Open Access;"" Green Open Access",Scopus
Mahmoud A.K.; El-Gindy A.M.,"Mahmoud, Amr K. (57211145403)"";"" El-Gindy, A.M. (59024784900)","57211145403"";"" 59024784900",Smart Application Designed for Precision and Simplicity in Estimating Water Requirements for Olive Trees,2026,Agricultural Research,15,2,,1244,1255,0,10.1007/s40003-025-00931-x,https://www.scopus.com/pages/publications/105029279083?origin=resultslist,"A smart Android application, Olive ET Tracker (OETT), was developed to estimate reference Evapotranspiration (ETo) and real-time actual transpiration of olive trees using gridded weather data obtained from smart phone applications, particularly The Weather Channel, for any global location. The application is designed to support on-farm water management and enhance water-use efficiency in olive cultivation. OETT operates in two modes: (i) calculating ETo from meteorological data using the Penman–Monteith equation, or (ii) allowing users to input ETo values directly. Model performance was assessed using standard error metrics, including the coefficient of determination (R2), root mean square error (RMSE), and model efficiency (E). Validation against FAO’s Aquastat model demonstrated robust performance, with RMSE values ranging from 0.2 mm in Siwa to 1.2 mm in Riyadh, and an overall average of 0.65 mm across sites. Model efficiency was highest in Siwa (0.99) and Ras Sudr (0.96), while Riyadh recorded a value of 0.81. The mean R2 across regression analyses was 0.91, indicating strong agreement between OETT outputs and reference data. In addition, the application estimates actual transpiration (Tsap) using an empirical equation derived from sap flow measurements: Tsap = 13.10 × ETo + 11.39. Sap flow sensors were installed on olive trees in Ras Sudr between June and December 2023, recording real-time transpiration at 15-min intervals. The results revealed seasonal variation, with Tsap and ETc peaking during summer (June–August) due to higher temperatures and extended daylight hours, and declining during autumn and winter as temperatures dropped, reflecting lower water requirements. Overall, OETT provides a reliable and practical tool for precision irrigation management in olive orchards, offering farmers and researchers an accessible means to optimize water use under varying climatic conditions. © The Author(s), under exclusive licence to National Academy of Agricultural Sciences 2026.","Olive tree""; Reference evapotranspiration; Sap flow;"" Transpiration","Egypt""; Matruh [Egypt]; Riyadh [Riyadh (PRV)]; Riyadh [Saudi Arabia]; Saudi Arabia; Siwa; Cultivation; Efficiency; Evapotranspiration; Flow measurement; Forestry; Irrigation; Mean square error; Meteorology; Precision agriculture; Regression analysis; Smartphones; Trees (mathematics); Android applications; Model efficiency; Olive tree; Real- time; Reference evapotranspiration; Root mean square errors; Sap flow; Smart applications; Water requirements; Weather data; day length; evapotranspiration; irrigation; mobile phone; orchard; Penman-Monteith equation; precision agriculture; real time; regression analysis; sap flow; seasonal variation; software; temperature effect; water use efficiency;"" Transpiration",Article,Final,,Scopus
Moisa M.B.; Iticha B.; Chalchissa F.B.; Roba Z.R.; Kipkulei H.K.; Deribew K.T.; Wolteji B.N.; Rebouh N.Y.; Gemeda D.O.; Tariq A.,"Moisa, Mitiku Badasa (57226855091)""; Iticha, Birhanu (57201382482); Chalchissa, Fedhasa Benti (57451650100); Roba, Zenebe Reta (57876097200); Kipkulei, Harison Kiplagat (57578999400); Deribew, Kiros Tsegay (57212305956); Wolteji, Bayisa Negasa (57467188000); Rebouh, Nazih Y. (57194940723); Gemeda, Dessalegn Obsi (55909855900);"" Tariq, Aqil (57212555041)","57226855091"";57201382482;57451650100;57876097200;57578999400;57212305956;57467188000;57194940723;55909855900;"" 57212555041",Mapping the Spatiotemporal Nexus of Soil Moisture and Salinity in Semi-Arid Croplands for Sustainable Agriculture,2026,Earth Systems and Environment,10,6,,7657,7675,0,10.1007/s41748-025-01007-0,https://www.scopus.com/pages/publications/105028906374?origin=resultslist,"Expansion of surface irrigation has an effect on soil moisture and salinity patterns in an intensively cultivated semi-arid landscape. In this study, we evaluated the dynamics of soil moisture and salinity implications for sustainable land management in semi-arid croplands of the Omo Gibe River Sub-Basin over 25 years (2000–2025). Multispectral and thermal Landsat images from 2000 to 2025 were used to classify LULC and to calculate the Soil Moisture Index (SMI) and Normalized Difference Salinity Index (NDSI) using ArcGIS and ERDAS Imagine software. LULC analysis from 2000 to 2025 revealed a substantial increase in irrigated land from 389.3 km² (4.9%) to 1,577.4 km² (19.9%), accompanied by marked reductions in grassland and shifts in cultivated area. SMI mapping showed a decline of the dry to very dry soil class from 19.4% to 10.8% and an increase in moist to very wet soils from 17.3% to 21.4%, reflecting the hydrological influence of 25 years of irrigation. However, NDSI results indicated that highly saline soils expanded by 780.1 km² (42.1%), with non-saline areas collapsing from 12.2% to 1.0%. Spatial salinity patterns shifted downslope, driven by salt mobilization with irrigation water and accumulation in low-lying areas with poor drainage. The integration of SMI and NDSI proved effective for spatiotemporal monitoring of soil hydro-salinity dynamics, providing a basis for targeted management interventions. The finding suggested that sustainable irrigation practices, improved drainage, and salt-tolerant cropping systems are essential to mitigate salinity risks while sustaining the agronomic benefits of irrigation. © King Abdulaziz University and Springer Nature Switzerland AG 2026.","Irrigation management""; LULC; Moisture index; Remote sensing; Salinity index;"" Sustainable land management",,Article,Final,,Scopus
Zhao S.; Ding J.; Wang J.; Han L.; Han H.; Wang P.; Lv Z.,"Zhao, Shuang (57567633500)""; Ding, Jianli (13610395400); Wang, Jinjie (60415919700); Han, Lijing (57218992667); Han, Haiyan (59508382700); Wang, Ping (60339460800);"" Lv, Zhiang (60580547700)","57567633500"";13610395400;60415919700;57218992667;59508382700;60339460800;"" 60580547700",Estimating surface soil salinity and water–heat–salt coupling in arid oasis zones: Synergistic integration of SAR and optical-TIR data,2026,Soil and Tillage Research,262,,107223,,,0,10.1016/j.still.2026.107223,https://www.scopus.com/pages/publications/105035744888?origin=resultslist,"Under the dual pressures of climate change and intensified human activities, the distribution and migration of soil moisture, heat, and salinity in arid regions have become increasingly intense, directly affecting regional land use and ecological security. Accurately mapping soil salinity and understanding the coupled dynamics of soil water, heat, and salt are essential for sustainable agriculture and ecosystem conservation. However, the performance of different remote sensors varies significantly under complex surface conditions. Soil moisture, a critical factor influencing electromagnetic signal responses, has not yet been assessed for its contribution across sensor types. Furthermore, the fine-scale interactions among moisture, temperature, and salinity remain poorly understood. Taking Aksu and Weiku oases as case study areas, this study proposed a synergistic multi-source remote sensing framework for soil salinity estimation, incorporating gravimetric soil water content as a collaborative factor. The coupling coordination degree (CCD) of surface soil water–heat–salt interactions was further evaluated based on land surface temperature derived from Landsat-8. Results indicated that: (1) Integrating the temperature vegetation drought index constructed from both linear and nonlinear methods with a Random Forest model significantly improved soil water content retrieval accuracy, increasing R² by 0.25–0.43. (2) Introducing soil water content as a synergistic variable notably enhanced soil salinity estimation based on the fusion of Sentinel-1 and Landsat-8, with R² increasing by 0.08–0.39 and RMSE decreasing by 7.88–12.17 dS/m. The salinization risk was notably higher at oasis fringes than in core agricultural zones. (3) The CCD characteristics of surface soil water–heat–salt exhibited significant spatial heterogeneity, with an average CCD of 0.51, indicating a reluctant coordination state. Forest (0.57) and cropland (0.51) showed relatively higher coordination, while grassland had the lowest level (0.47). The proposed framework enhances salinity monitoring accuracy in arid oases. It provides technical support for irrigation planning, land-use optimization, and salinization control, and contributes to sustainable land management and ecological security in arid regions. © 2026 Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Coupling coordination""; Landsat-8; Sentinel-1; Synergistic use;"" Water–heat–salt interaction","Arid regions""; Climate change; Drought; Ecosystems; Forestry; Land surface temperature; Land use; Remote sensing; Soil conservation; Soil surveys; Soil temperature; Surface measurement; Vegetation; %moisture; Coupling coordination; LANDSAT; Landsat-8; Sentinel-1; Soil salinity; Soil water; Surface soil; Synergistic use; Water–heat–salt interaction; Data mining;"" Soil moisture",Article,Final,,Scopus
Li M.; Lei H.; Li F.; Huang J.; Shi Y.; Xu S.; Wang H.; Wang S.; Wang R.; Liu L.; Cheng S.; Guo L.; Xin H.; Yang Z.; Wang G.; Guo X.; Sun J.,"Li, Mingyang (57205588963)""; Lei, Huimin (16836656500); Li, Fulin (57206890117); Huang, Jiwen (60637776900); Shi, Yuzhi (60637498200); Xu, Shangjie (60637408800); Wang, Han (60637777000); Wang, Sinan (57208901269); Wang, Rui (60637312900); Liu, Lili (60637313000); Cheng, Suzhen (60637408900); Guo, Lei (60637219700); Xin, Hongjie (60637313100); Yang, Zhen (60637219800); Wang, Guanghui (60637313200); Guo, Xianhu (60637870800);"" Sun, Jingjing (60637870900)","57205588963"";16836656500;57206890117;60637776900;60637498200;60637408800;60637777000;57208901269;60637312900;60637313000;60637408900;60637219700;60637313100;60637219800;60637313200;60637870800;"" 60637870900",CWN-Net: a precise segmentation model for composite water networks using multi-source and multi-temporal remote sensing imagery,2026,Journal of Hydrology,676,,135666,,,0,10.1016/j.jhydrol.2026.135666,https://www.scopus.com/pages/publications/105039136907?origin=resultslist,"Precise segmentation of composite water networks diverges from conventional water body detection due to challenges like intermittent channel flows, spectral confusion from aquatic or riparian vegetation obscuring waterways or dry riverbeds, morphological heterogeneity, and limitations of existing datasets. To address these, this study proposes CWN-Net, a high-fidelity model leveraging multi-source (Sentinel-1 SAR, Sentinel-2 multispectral) and multi-temporal remote sensing imagery. Built on U-Net, it integrates a shared CNN encoder, Swin Transformer module, temporal attention, dual-branch point-area segmentation heads, and consistency loss, enhanced by SHAP for interpretability. Validated in four Shandong Province cities (37,077 km2) as a “natural rivers–artificial channels–agricultural irrigation canals” study area, the datasets incorporate seasonal features. Comparative evaluation against LightGBM, MobileNetV2, DeepLabv3+, SegFormer-B0, Swin-Unet and two others shows CWN-Net, with 2.96 million parameters, achieves Precision 0.9320, F1 Score 0.9408, and IoU 0.8883, outperforming benchmarks in narrow irrigation channels, vegetation-covered regions, and urban shadows. SHAP analysis highlights third-quarter near-infrared and fourth-quarter green bands as primary contributors, with multi-source fusion mitigating SAR speckle noise in dry periods. The generated datasets augment HydroRIVERS and OSM deficiencies, adding 8.22 km urban hidden networks and 86.877 km unlabeled channels/mountainous rivers, providing high-precision support for regional water management, flood risk assessment, and irrigation optimization. © 2026 Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Boundary-sensitive dual-branch architecture""; Composite water network segmentation; Deep learning; Multi-source remote sensing imagery;"" SHAP Interpretability","China""; Shandong; Banks (bodies of water); Channel flow; Flood control; Floods; Image segmentation; Irrigation; Remote sensing; Rivers; Vegetation; Water conservation; Water distribution systems; Water management; Boundary-sensitive dual-branch architecture; Composite water network segmentation; Deep learning; Interpretability; Multi-source remote sensing imagery; Multi-Sources; Network segmentation; Remote sensing imagery; SHAP interpretability; Water networks; composite; irrigation system; machine learning; model validation; remote sensing; riparian vegetation; satellite imagery; segmentation; Sentinel; synthetic aperture radar; vegetation cover; Deep learning; Infrared devices;"" Risk assessment",Article,Final,,Scopus
Ibrahim F.M.; Shahrour G.; Alanazi A.R.; Hakami H.M.A.; Alsuwayed A.,"Ibrahim, Fatma M. (57225999851)""; Shahrour, Ghada (56705340200); Alanazi, Abdulkarem Radhi (60583637200); Hakami, Husain Mohammed Al (60718487300);"" Alsuwayed, Asmaa (60583831100)","57225999851"";56705340200;60583637200;60718487300;"" 60583831100",Artificial intelligence for environmental sustainability across sectors: a scoping review and evidence map for nursing and health policy,2026,BMC Nursing,25,1,581,,,0,10.1186/s12912-026-04947-8,https://www.scopus.com/pages/publications/105043457871?origin=resultslist,"Background: Health systems are expected to reduce environmental impacts while preserving safe, continuous and equitable care. Artificial intelligence (AI) may help optimize energy, water, waste and circular-economy processes, but the evidence is dispersed across sectors and its relevance to nursing and health policy is uncertain. Methods: We conducted a cross-sector scoping review and evidence map of studies published from January 2020 to April 2025. Searches were conducted in Scopus and Web of Science, with backward reference-list checking. Eligible studies evaluated an AI-enabled intervention, decision-support pathway or optimization process and reported a quantified environmental sustainability endpoint, sustainability-relevant operational proxy or clearly linked circular-economy process outcome. Outcomes were mapped as real-world direct environmental endpoints, simulated or modeled direct endpoints, indirect operational proxies or technical enabling metrics. Full platform-specific search strategies are provided in Supplementary file 1 (Supplementary Table S1). Results: After a tightened eligibility audit, 11 studies were included. No study evaluated AI-enabled sustainability interventions in routine healthcare delivery or nursing practice. Energy-management studies were concentrated in building heating, ventilation and air-conditioning control or microgrid scheduling. Direct environmental evidence was sparse and was either non-healthcare real-building evidence or simulated/modeled estimates, including building energy use, irrigation water use and route-derived emissions or carbon-cost indicators. Indirect evidence included demand-response flexibility, operating-cost reductions, productivity or profit improvements, operational-efficiency gains, battery reuse-pack performance and bioleaching process optimization. Technical metrics such as forecasting or classification accuracy were treated as implementation-enabling evidence and were not interpreted as environmental effects. Conclusions: The current evidence base is better characterized as a cross-sector evidence map than as a focused healthcare effectiveness review. AI-enabled sustainability applications may offer candidate functions for health-system infrastructure and operations"";"" however, nursing implications are interpretive, hypothesis-generating and not directly evidenced. Future healthcare studies should evaluate environmental endpoints alongside patient safety, infection prevention, nursing workload, equity and the lifecycle footprint of AI systems. © The Author(s) 2026.","Artificial intelligence""; Environmental sustainability; Evidence map; Green AI; Health systems; Nursing leadership;"" Scoping review",,Article,Final,"All Open Access"";"" Gold Open Access",Scopus
Ondieki J.; Dabboor M.; Laneve G.; Marsella M.; Mito C.; Homayouni S.,"Ondieki, Jephter (57435568600)""; Dabboor, Mohammed (12753851300); Laneve, Giovanni (6603065055); Marsella, Maria (36958360400); Mito, Collins (6506319034);"" Homayouni, Saeid (24070293900)","57435568600"";12753851300;6603065055;36958360400;6506319034;"" 24070293900",Cross-Frequency Calibration of Multi-Sensor SAR Data Using Machine Learning Techniques for Surface Soil Moisture Retrieval,2026,Remote Sensing in Earth Systems Sciences,9,2,31,,,0,10.1007/s41976-026-00273-4,https://www.scopus.com/pages/publications/105035848968?origin=resultslist,"Soil moisture plays a vital role in the water-energy cycle, climate dynamics, and agricultural practices. Conventional approaches for estimating surface soil moisture (SSM) with single-frequency Synthetic Aperture Radar (SAR) often face challenges in accuracy and adaptability due to differences in sensor properties. This study proposes a novel cross-frequency calibration framework for SSM retrieval using non-coincident multi-frequency SAR data, specifically leveraging SAOCOM (L-band) and RADARSAT Constellation Mission (RCM) (C-band) datasets. A domain adaptation approach is employed to transfer knowledge from SAOCOM to RCM, enabling robust SSM estimation without requiring coincident acquisitions. Ensemble Learning Regression (ELR) and Gaussian Process Regression (GPR) models were developed and optimized using Bayesian hyperparameter tuning and k-fold cross-validation. The adapted models achieved RMSE of 0.039 m³/m³ (ELR) and 0.047 m³/m³ (GPR), with corresponding coefficients of determination R2 = 0.81 and R2 = 0.72, respectively. Minimal bias (0.001) and strong agreement between predicted and observed values were confirmed through Bland-Altman and Q-Q plots. This framework enhances the scalability and generalizability of SSM retrieval, offering practical applications in drought monitoring, flood prediction, and irrigation management. The study highlights the effectiveness of machine learning and domain adaptation techniques in advancing large-scale soil moisture mapping. © The Author(s) 2026.","Cross-Frequency""; Domain adaptation; Machine learning; RCM; SAOCOM;"" Soil moisture",,Article,Final,"All Open Access"";"" Hybrid Gold Open Access",Scopus
Ju X.; Chen S.,"Ju, Xiang (60576411800)"";"" Chen, Shaohui (36815612100)","60576411800"";"" 36815612100",Evaluation and error attribution of evapotranspiration products over the Haihe River Basin: Implications for irrigation scheduling and agricultural water management,2026,Agricultural Water Management,329,,110358,,,0,10.1016/j.agwat.2026.110358,https://www.scopus.com/pages/publications/105035660168?origin=resultslist,"Accurate evapotranspiration (ET) estimates are vital in the water-stressed Haihe River Basin (HRB)""; however, the suitability and error modes of existing ET products remain unclear. This study develops an end-to-end diagnostic framework to reveal error mechanisms, define applicability limits, and link site-level error processes to basin-scale performance patterns. The framework's novelty lies in its multi-pronged attribution strategy designed to disentangle complex error sources. It leverages high-precision lysimeters and an eddy covariance (EC) network to separate and validate evaporation versus transpiration errors. It then integrates a physics-based scenario matrix to diagnose error patterns under distinct hydrothermal stresses, and employs a generalized additive model (GAM) to quantify nonlinear relationships between these errors and environmental drivers. The framework reveals systematic, condition-dependent error patterns: at site scale, products overestimate bare-soil evaporation but underestimate cropland transpiration;"" at basin scale, land-surface models generally show higher skill in near-natural mountain regions, whereas their skill is reduced in intensively managed, irrigation-dominated plains. Failure to capture the spring irrigation-driven ET peak is one factor contributing to this contrast. These irrigation-induced biases directly affect irrigation scheduling, agricultural water budget, and crop water requirement estimates. Product choice should be context-specific: GLEAM demonstrates a superior ability to capture irrigation signals in managed plains, whereas reanalysis products are more reliable in near-natural mountains. These investigations can help optimize water resource utilization and allocation in agricultural fields. Copyright © 2026. Published by Elsevier B.V.","Eddy covariance""; Evapotranspiration; Human activity; Land-surface models; Lysimeter;"" Remote sensing","China""; Hai Basin; Budget control; Irrigation; Landforms; Lysimeters; Plants (botany); Surface measurement; Systematic errors; Transpiration; Watersheds; Agricultural water management; Basin scale; Eddy covariance; Error mode; Error patterns; Haihe River basin; Human activities; Irrigation scheduling; Land surface models; Remote-sensing; eddy covariance; evapotranspiration; human activity; irrigation system; lysimeter; remote sensing; water management; water resource; Evapotranspiration;"" Remote sensing",Article,Final,"All Open Access"";"" Gold Open Access",Scopus
Souley H.; Saradhi B.,"Souley, Halarou Saidou (60404871500)"";"" Saradhi, Battula Vijaya (36806641100)","60404871500"";"" 36806641100",Assessment of the Potential of Medium-Resolution Satellite Images for Estimating Rice Yields in Semiarid Irrigation Systems in Niamey,2026,Irrigation and Drainage,75,3,,1143,1155,0,10.1002/ird.70109,https://www.scopus.com/pages/publications/105030471823?origin=resultslist,"Rice underpins global food security""; however, in semiarid regions such as Niger, production is limited by climate variability, arable land and urban expansion, making reliable yield estimates essential for guiding agricultural policies and enhancing food security. This study aims to evaluate the effectiveness of remote sensing in estimating rice yields in the Niamey region during four dry seasons (2022–2025). Landsat imagery was used to derive the normalised difference vegetation index (NDVI), which was correlated with yield statistics from ‘Office National des Aménagements Hydro-Agricole’. Rice fields were mapped using a support vector machine classifier, and exponential regression models were developed. The results show a good NDVI-yield relationship, with R2 exceeding 0.91 across all seasons. Estimated yields ranged from 5.61 to 6.15 t/ha, closely matching reported values of 5.32–5.85 t/ha and achieving accuracies of 94.05%–94.87%. However, cultivated areas were underestimated by 12–40 ha due to mixed pixels, fragmented boundaries and heterogeneous plot configurations. Area estimation showed moderate reliability (R2 = 0.58);"" production performed strongly (R2 = 0.93), whereas yield (R2 = −0.90) exhibited poor explicative power due to flooding impacts and management variability. Medium-resolution satellite imagery enables rapid, cost-effective rice monitoring, irrigation management support, food-security planning and land-use policy development across the Sahel. © 2026 John Wiley & Sons Australia, Ltd.","Landsat""; normalised difference vegetation index; remote sensing; rice yield;"" semiarid area",,Article,Final,,Scopus
Jadhav K.D.; Masurkar S.; Singh S.; Barde A.; Thakur A.; Phaugat M.,"Jadhav, Kunal Dhaku (60091352100)""; Masurkar, Snehal (57216744824); Singh, Shilpy (58003136600); Barde, Amol (60411552700); Thakur, Akshay (59755059600);"" Phaugat, Manisha (58535871100)","60091352100"";57216744824;58003136600;60411552700;59755059600;"" 58535871100",Agroecological Farming Practices for Enhancing Biodiversity Conservation and Ecosystem Resilience,2026,Journal of Animal Environment,18,1S,,386,394,0,10.70102/AEJ.2026.18.1s.39,https://www.scopus.com/pages/publications/105045739569?origin=resultslist,"Conventional agricultural practices have lost their ecological vigor due to erosion of biodiversity, loss of soil fertility and high variability of the climate which call for smart agroecological management strategies. In this paper, an Agroecological Farming Framework is suggested and applied, which combines multisource environmental sensing, precision field monitoring, biodiversity assessment and machine learning-based decision support for improving biodiversity conservation and ecosystem resilience. The framework that has been implemented includes soil and microclimate sensors connected to the IoT, UAV imagery, satellite-derived Vegetation Indexes, GIS mapping, and a predictive model based on XGBoost for assessing ecological conditions and providing sustainable management of agriculture. Experimental evaluation was carried out in 12 agricultural fields of 486 ha where the data about the environment was gathered during 18 months (158,420 records of the sensors, 9,860 images taken from an unmanned aircraft and 24 biodiversity indicators). The proposed framework correctly classified 97.84% of the biodiversity, predicted 96.92% of the ecosystem health, accurately assessed the habitat suitability 98.15%, predicted the pollinator diversity 95.76% and predicted the land-cover 96.48% with 28.6% reduction in fertilizer application""; 34.2% reduction in pesticide usage; 22.7% reduction in irrigation demand; 19.4% increase in species richness;"" and 16.3% increase in crop productivity. The novelty of this work comes from the fact that it brings together the implementation of real-time ecological monitoring, AI-based biodiversity prediction and precision agroecological management in a single framework for the purpose of sustainable farming. The proposed system is an effective decision support platform for the conservation of biodiversity, the improvement of the resilience of ecosystems, the efficient use of resources and the development of climate resilient agricultural production. © 2026, Tehran: Amayesh Shale Consulting Engineers Company. All rights reserved.","Agroecology""; Biodiversity Conservation; Ecosystem Resilience; Machine Learning; Precision Agriculture; Sustainable Farming;"" XGBoost",,Article,Final,,Scopus
